运输方式,路线,价格,环比,日期
整车运输-9.6,上海-南京,2078元/整车,-0.72%,2024/3/6
整车运输-9.6,上海-南京,2078元/整车,-0.72%,2024/2/28
整车运输-9.6,上海-南京,2078元/整车,-0.72%,2024/2/21
整车运输-9.6,上海-南京,2078元/整车,-0.72%,2024/2/14
整车运输-9.6,上海-南京,2078元/整车,-0.72%,2024/2/7
整车运输-9.6,上海-南京,2078元/整车,-0.72%,2024/1/31
整车运输-9.6,上海-南京,2078元/整车,-0.72%,2024/1/24
整车运输-9.6,上海-南京,2078元/整车,-0.72%,2024/1/17
整车运输-9.6,上海-南京,2078元/整车,-0.72%,2024/1/10
整车运输-9.6,上海-南京,2078元/整车,-0.72%,2024/1/3
整车运输-9.6,上海-南京,2078元/整车,-0.72%,2023/12/27
整车运输-9.6,上海-南京,2078元/整车,-0.72%,2023/12/20
整车运输-9.6,上海-南京,2078元/整车,-0.72%,2023/12/13
整车运输-9.6,上海-南京,2078元/整车,-0.72%,2023/12/6
整车运输-9.6,上海-南京,2078元/整车,-0.72%,2023/11/29
整车运输-9.6,上海-南京,2078元/整车,-0.72%,2023/11/15
整车运输-9.6,上海-南京,2078元/整车,-0.72%,2023/11/8
整车运输-9.6,上海-南京,2078元/整车,-0.72%,2023/11/1
整车运输-9.6,上海-南京,2078元/整车,-0.72%,2023/10/25
整车运输-9.6,上海-南京,2078元/整车,-0.72%,2023/10/18
整车运输-9.6,上海-南京,2078元/整车,-0.72%,2023/10/11
整车运输-9.6,上海-南京,2078元/整车,-0.72%,2023/10/4
整车运输-9.6,上海-南京,2078元/整车,-0.72%,2023/9/27
整车运输-9.6,上海-南京,2078元/整车,-0.72%,2023/9/20
整车运输-9.6,上海-南京,2078元/整车,-0.72%,2023/9/13
整车运输-9.6,上海-南京,2078元/整车,-0.72%,2023/9/6
整车运输-9.6,上海-南京,2078元/整车,-0.72%,2023/8/30
整车运输-9.6,上海-南京,2078元/整车,-0.72%,2023/8/23
整车运输-9.6,上海-南京,2078元/整车,-0.72%,2023/8/16
整车运输-9.6,上海-南京,2078元/整车,-0.72%,2023/8/9
整车运输-9.6,上海-南京,2078元/整车,-0.72%,2023/8/2
整车运输-9.6,上海-南京,2078元/整车,-0.72%,2023/7/26
整车运输-9.6,上海-南京,2078元/整车,-0.72%,2023/7/19
整车运输-9.6,上海-南京,2078元/整车,-0.72%,2023/7/12
整车运输-9.6,上海-南京,2078元/整车,-0.72%,2023/7/5
整车运输-9.6,上海-南京,2078元/整车,-0.72%,2023/6/28
整车运输-9.6,上海-南京,2078元/整车,-0.72%,2023/6/21
整车运输-9.6,上海-南京,2078元/整车,-0.72%,2023/6/7
整车运输-9.6,上海-南京,2078元/整车,-0.72%,2023/5/31
整车运输-9.6,上海-南京,2078元/整车,-0.72%,2023/5/24
整车运输-9.6,上海-南京,2078元/整车,-0.72%,2023/5/17
整车运输-9.6,上海-南京,2078元/整车,-0.72%,2023/5/10
整车运输-9.6,上海-南京,2078元/整车,-0.72%,2023/5/3
整车运输-9.6,上海-南京,2078元/整车,-0.72%,2023/4/26
整车运输-9.6,上海-南京,2078元/整车,-0.72%,2023/4/19
整车运输-9.6,上海-南京,2078元/整车,-0.72%,2023/4/12
整车运输-9.6,上海-南京,2078元/整车,-0.72%,2023/4/5
整车运输-9.6,上海-南京,2078元/整车,-0.72%,2023/3/29
整车运输-9.6,上海-南京,2078元/整车,-0.72%,2023/3/15
整车运输-9.6,上海-南京,2078元/整车,-0.72%,2023/3/8
整车运输-9.6,上海-南京,2078元/整车,-0.72%,2023/3/1
整车运输-9.6,上海-南京,2078元/整车,-0.72%,2023/2/22
整车运输-9.6,上海-南京,2078元/整车,-0.72%,2023/2/15
整车运输-9.6,上海-南京,2078元/整车,-0.72%,2023/2/8
整车运输-9.6,上海-南京,2078元/整车,-0.72%,2023/2/1
整车运输-9.6,上海-南京,2078元/整车,-0.72%,2023/1/25
整车运输-9.6,上海-南京,2078元/整车,-0.72%,2023/1/18
